iter	Passed	Remaining
841	3976	746
842	3980	741
843	3986	736
844	3990	732
845	3995	727
846	3999	722
847	4004	717
848	4009	713
849	4013	708
850	4018	703
851	4023	698
852	4027	694
853	4032	689
854	4036	684
855	4041	679
856	4046	675
857	4050	670
858	4056	665
859	4058	660
860	4063	656
861	4068	651
862	4072	646
863	4077	641
864	4082	637
865	4087	632
866	4092	627
867	4097	623
868	4101	618
869	4105	613
870	4110	608
871	4115	604
872	4119	599
873	4124	594
874	4129	589
875	4133	585
876	4137	580
877	4142	575
878	4146	570
879	4151	566
880	4156	561
881	4161	556
882	4164	551
883	4167	546
884	4171	542
885	4175	537
886	4180	532
887	4185	527
888	4188	523
889	4192	518
890	4197	513
891	4202	508
892	4206	503
893	4209	499
894	4214	494
895	4219	489
896	4224	485
897	4227	480
898	4231	475
899	4236	470
900	4240	465
901	4245	461
902	4250	456
903	4254	451
904	4259	447
905	4263	442
906	4267	437
907	4272	432
908	4276	428
909	4280	423
910	4285	418
911	4290	413
912	4294	409
913	4299	404
914	4304	399
915	4309	395
916	4314	390
917	4319	385
918	4324	381
919	4329	376
920	4334	371
921	4338	367
922	4341	362
923	4346	357
924	4351	352
925	4356	348
926	4361	343
927	4366	338
928	4369	333
929	4374	329
930	4378	324
931	4383	319
932	4387	315
933	4392	310
934	4397	305
935	4400	300
936	4404	296
937	4409	291
938	4414	286
939	4419	282
940	4423	277
941	4428	272
942	4433	267
943	4438	263
944	4443	258
945	4446	253
946	4451	249
947	4456	244
948	4461	239
949	4466	235
950	4471	230
951	4474	225
952	4477	220
953	4482	216
954	4487	211
955	4493	206
956	4498	202
957	4503	197
958	4507	192
959	4512	188
960	4517	183
961	4522	178
962	4527	173
963	4532	169
964	4536	164
965	4542	159
966	4547	155
967	4568	151
968	4575	146
969	4583	141
970	4591	137
971	4599	132
972	4604	127
973	4610	123
974	4615	118
975	4620	113
976	4625	108
977	4629	104
978	4635	99
979	4639	94
980	4645	89
981	4649	85
982	4653	80
983	4657	75
984	4661	70
985	4666	66
986	4670	61
987	4675	56
988	4678	52
989	4681	47
990	4685	42
991	4689	37
992	4695	33
993	4698	28
994	4702	23
995	4706	18
996	4711	14
997	4715	9
998	4720	4
999	4724	0
